Section,Asset Name,File Type,wix url
Global,Revou Logo,.png (Favicon),https://static.wixstatic.com/media/ab5dd5_e309814b79f64ca4a6fdb552a502c480~mv2.png
Global,Grid Background,.png (Background),https://static.wixstatic.com/media/ab5dd5_276f421197a84dfd8e80354b9a60be5a~mv2.png
Hero,Blue Ribbon,.png,https://static.wixstatic.com/media/ab5dd5_340c4d7c0633476dafb0a697ed4fb437~mv2.png
Hero,Yellow Ribbon,.png,https://static.wixstatic.com/media/ab5dd5_11f2075697c14647a51bbfc1c2aafb1c~mv2.png
Program Info,who is this program for-img,.png,
Certificate,certificate-blur (Instance 1),.png,https://static.wixstatic.com/media/ab5dd5_98d05c5e78fc4c84ab11fa093b463db9~mv2.png
Certificate,certificate-blur (Instance 2),.png,https://static.wixstatic.com/media/ab5dd5_98d05c5e78fc4c84ab11fa093b463db9~mv2.png
Certificate,binus kemanggisan small,.jpg,https://static.wixstatic.com/media/ab5dd5_4c4ed6bab6e04d6a8f28b7e5d0928189~mv2.jpg
Icons,Live Online Icon,.png,https://static.wixstatic.com/media/ab5dd5_2dbe7745d3a646449d1125bdacceb69d~mv2.png
Icons,cohort-based learning,.png,https://static.wixstatic.com/media/ab5dd5_8dc5ec506b1c44f08ec10c753fb1b3cf~mv2.png
Icons,Gain1icon,.png,https://static.wixstatic.com/media/ab5dd5_5a49a3c0a692471cab75f1be07aa376d~mv2.png
Icons,Deliver ROI Icon,.png,https://static.wixstatic.com/media/ab5dd5_ef21828e065e4c9e969bf8c24694c97b~mv2.png
Icons,Boost Icon,.png,https://static.wixstatic.com/media/ab5dd5_0ecf8dc4d2bf499bae5943b4eea5a473~mv2.png
Icons,phase1icon,.png,https://static.wixstatic.com/media/ab5dd5_65380d6e9f9c4cf18ff5b0b152c323d2~mv2.png
Icons,phase2icon,.png,https://static.wixstatic.com/media/ab5dd5_ea413ccee533458a97a45e98ccdedc81~mv2.png
Icons,phase3icon,.png,https://static.wixstatic.com/media/ab5dd5_db177915bef74b74b8cdad79e9e8da63~mv2.png
Icons,phase4icon,.png,https://static.wixstatic.com/media/ab5dd5_84ea4826b57047c6a8e235ced4d71e87~mv2.png
Icons,phase5icon,.png,https://static.wixstatic.com/media/ab5dd5_a72241673852483386ca4056dd92ebb6~mv2.png
Icons,outcomeicon,.png,https://static.wixstatic.com/media/ab5dd5_96a43ba743b14b55aa2e31f10bb85a5d~mv2.png
Steps / Flow,1,.png,https://static.wixstatic.com/media/ab5dd5_ed29d6cc222b481182cc84d0ec1866ee~mv2.png
Steps / Flow,2,.png,https://static.wixstatic.com/media/ab5dd5_ac7ddc83ea8d490893bf13926b58e2bb~mv2.png
Steps / Flow,3,.png,https://static.wixstatic.com/media/ab5dd5_8a274324cd064fbf9d3fa1b80ffbd2d4~mv2.png
Instructors,prof,.png,https://static.wixstatic.com/media/ab5dd5_c4a1cb9b21a14ba3a1a78d2fede36365~mv2.png
Instructors,brandy,.png,https://static.wixstatic.com/media/ab5dd5_35f80464d35b4ae3af224ba77d710991~mv2.png
Instructors,loreal,.png,https://static.wixstatic.com/media/ab5dd5_b81ccb874b5a452bbd7dc651c9bacd21~mv2.png
Instructors,Gabriel,.png,https://static.wixstatic.com/media/ab5dd5_a5b93b3702574e88815627debf8be796~mv2.png
Instructors,edts,.png,https://static.wixstatic.com/media/ab5dd5_291c862ee7074f938d44f77eb402e4e3~mv2.png
Instructors,Cornelius,.png,https://static.wixstatic.com/media/ab5dd5_b5f6f554a03442fc8f047b41fec92897~mv2.png
Instructors,arif,.png,https://static.wixstatic.com/media/ab5dd5_35f80464d35b4ae3af224ba77d710991~mv2.png
Instructors,husein,.png,https://static.wixstatic.com/media/ab5dd5_dc5f1ec69f204abcb6c0d09bbc1a225d~mv2.png
Instructors,fw,.png,https://static.wixstatic.com/media/ab5dd5_9c91d51076f74a77a4c421897bf24cfc~mv2.png
Decorative,Robotic Hands,.png,https://static.wixstatic.com/media/ab5dd5_f13ed000b0e247b6842ee26220338437~mv2.png
Decorative,Human Hands,.png,https://static.wixstatic.com/media/ab5dd5_72c58fb3e0cd4e038a4737f8d6fb2ff6~mv2.png
